"_internal_id","s_n","production_date","qualifying_feed_mt_","qty_of_pw_processed_for_cat_i__mt_","qty_of_pw_processed_for_cat_ii__mt_","qty_of_pw_processed_for_cat_iii__mt_","qty_of_pw_processed_for_cat_iv__mt_","production_id","available_quantity__mt_"
1,"1","01-08-2022","1858.63","0","0.001802","0","0","68","0.254293"
2,"2","01-07-2022","2592.17","0","0.00009","0","0","67","0.011932"
3,"3","01-05-2022","1624.69","0","0.000628","0","0","65","0.112064"
4,"4","01-06-2022","2238.89","0","0.00007","0","0","66","0.009785"
5,"5","01-11-2022","428.793","0","0.000014","0","0","313","0.009721"
6,"6","01-10-2022","822.809","0","0.000319","0","0","312","0.125682"
7,"7","01-03-2023","793.059","0","0.000065","0","0","316","0.026831"
8,"8","01-02-2023","1055.99","0","0.000266","0","0","315","0.073717"
9,"9","01-11-2023","154.946","0","0.000035","0","0","1766","0.046398"
10,"10","01-12-2023","265.736","0","0.000329","0","0","1767","0.443166"
11,"11","01-01-2024","3245.83","0","0.000348","0","0","1768","0.028111"
12,"12","01-11-2023","154.946","0","0.000035","0","0","1766","0.046398"
13,"13","01-12-2023","265.736","0","0.000329","0","0","1767","0.443166"
14,"14","01-05-2024","6418.55","0","0.001694","0","0","4508","0.105324"
15,"15","01-04-2024","6889.24","0","0.112064","0","0","4507","6.37337"
16,"16","01-07-2024","1803.52","0","0.006282","0","0","6814","0.85183"
17,"17","01-06-2024","2348.5","0","0.039465","0","0","6813","6.32125"
18,"18","01-08-2024","4817.7","0","5.73549","0","0","15234","467.985"
19,"19","01-09-2024","4326.27","0","0.355014","0","0","15235","32.926"
20,"20","01-01-2025","913.719","0","0.050842","0","0","15238","5033.38"
21,"21","01-03-2025","4522.71","0","1536.61","0","0","15240","146550"
22,"22","01-10-2024","1241.67","0","1.03717","0","0","15236","210.575"
23,"23","01-11-2024","1586.13","0","0.777119","0","0","15237","96.3214"
24,"24","01-02-2025","3388.59","0","0.1453","0","0","15239","16.4054"
25,"25","01-06-2025","2056.36","0","0.136668","0","0","15987","76.3612"
26,"26","01-04-2025","3297.6","0","53.7678","0","0","15985","5600.71"
27,"27","01-05-2025","2118.23","0","0.121135","0","0","15986","71.5034"
28,"28","01-09-2025","2149.08","0","0.254316","0","0","16179","5386.28"
29,"29","01-07-2025","1054.23","0","0.012958","0","0","16177","5029.86"
30,"30","01-08-2025","2020.61","0","0.119512","0","0","16178","5051.06"
31,"31","01-01-2026","4797.77","0","6.35382","0","0","16258","7139.61"
32,"32","01-11-2025","2365.92","0","3.98707","0","0","16256","3812.27"
33,"33","01-10-2025","64.4053","0","0.012416","0","0","16255","5044.51"
34,"34","01-12-2025","4116.21","0","2.42966","0","0","16257","6106.79"
